gender,NationalITy,Topic,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentschoolSatisfaction,Class,subject,resp_parent,Parent_Sats,final_grade,citizenship,sex
M,KW,English,Father,8,22,9,40,Bad,L,1,2,1,1,1,2
M,KW,Science,Father,12,11,8,40,Bad,L,9,2,1,1,1,2
M,KW,English,Father,10,12,17,30,Bad,L,1,2,1,1,1,2
M,KW,Science,Mum,8,6,4,22,Good,L,9,1,2,1,1,2
F,Egypt,IT,Father,45,54,26,90,Good,M,5,2,2,2,3,1
M,KW,IT,Father,0,0,0,4,Bad,L,5,2,1,1,1,2
F,SaudiArabia,Science,Father,50,90,37,70,Good,M,9,2,2,2,4,1
F,KW,IT,Father,14,13,3,70,Bad,L,5,2,1,1,1,1
M,KW,IT,Father,19,20,16,50,Good,M,5,2,2,2,1,2
M,KW,IT,Father,10,12,7,33,Good,L,5,2,2,1,1,2
F,KW,IT,Father,30,35,28,90,Good,M,5,2,2,2,1,1
F,KW,IT,Father,33,33,30,90,Bad,M,5,2,1,2,1,1
M,KW,Quran,Father,20,12,15,70,Good,L,11,2,2,1,1,2
M,KW,English,Father,7,10,1,30,Bad,L,1,2,1,1,1,2
F,KW,English,Mum,70,4,39,90,Good,H,1,1,2,3,1,1
F,KW,English,Mum,13,80,40,88,Good,H,1,1,2,3,1,1
F,KW,English,Father,29,39,50,77,Good,M,1,2,2,2,1,1
F,KW,English,Father,20,14,12,70,Bad,L,1,2,1,1,1,1
M,KW,English,Father,39,15,16,50,Good,L,1,2,2,1,1,2
F,KW,English,Father,55,90,16,40,Bad,M,1,2,1,2,1,1
F,KW,Science,Mum,49,70,19,75,Good,H,9,1,2,3,1,1
M,KW,English,Mum,12,50,8,30,Bad,L,1,1,1,1,1,2
M,KW,Math,Father,16,14,6,20,Good,L,6,2,2,1,1,2
M,USA,Math,Father,19,5,4,1,Good,L,6,2,2,1,5,2
M,KW,Math,Father,5,2,6,5,Good,L,6,2,2,1,1,2
M,KW,Math,Father,28,60,19,50,Good,M,6,2,2,2,1,2
F,USA,Math,Father,27,22,22,40,Good,M,6,2,2,2,5,1
F,Jordan,English,Mum,21,10,28,20,Good,L,1,1,2,1,6,1
M,KW,IT,Father,50,70,32,40,Good,M,5,2,2,2,1,2
M,venzuela,IT,Mum,80,90,70,80,Good,H,5,1,2,3,7,2
M,KW,IT,Father,17,13,16,12,Bad,M,5,2,1,2,1,2
M,KW,IT,Father,0,5,7,2,Bad,L,5,2,1,1,1,2
M,KW,English,Father,13,5,18,19,Bad,L,1,2,1,1,1,2
F,KW,English,Father,25,10,19,30,Bad,M,1,2,1,2,1,1
F,USA,English,Mum,65,75,23,80,Good,H,1,1,2,3,5,1
F,USA,IT,Mum,70,69,35,30,Good,H,5,1,2,3,5,1
M,Jordan,IT,Father,39,40,11,33,Bad,M,5,2,1,2,6,2
M,Jordan,IT,Father,22,30,10,12,Good,L,5,2,2,1,6,2
M,KW,IT,Father,29,22,9,20,Good,M,5,2,2,2,1,2
M,KW,Math,Father,11,2,2,8,Bad,L,6,2,1,1,1,2
F,KW,English,Father,19,30,26,19,Bad,M,1,2,1,2,1,1
M,KW,IT,Father,12,0,6,13,Bad,L,5,2,1,1,1,2
M,Jordan,Quran,Mum,50,90,29,60,Good,M,11,1,2,2,6,2
M,Iran,IT,Mum,15,70,37,44,Good,M,5,1,2,2,8,2
M,KW,IT,Father,20,80,33,33,Good,M,5,2,2,2,1,2
M,KW,Quran,Father,13,3,11,9,Bad,L,11,2,1,1,1,2
F,lebanon,Math,Mum,80,90,49,55,Bad,H,6,1,1,3,NA,1
M,KW,Math,Father,8,15,10,40,Bad,L,6,2,1,1,1,2
M,KW,IT,Father,8,25,1,70,Bad,L,5,2,1,1,1,2
M,KW,IT,Father,7,5,2,80,Good,L,5,2,2,1,1,2
M,KW,IT,Father,7,4,10,50,Good,M,5,2,2,2,1,2
M,KW,IT,Father,50,70,50,10,Good,H,5,2,2,3,1,2
M,KW,IT,Father,1,0,1,12,Bad,L,5,2,1,1,1,2
M,SaudiArabia,IT,Father,70,12,40,50,Good,H,5,2,2,3,4,2
M,KW,IT,Father,19,70,3,50,Bad,L,5,2,1,1,1,2
F,KW,IT,Father,3,12,4,33,Bad,L,5,2,1,1,1,1
M,KW,IT,Father,5,20,1,50,Good,L,5,2,2,1,1,2
M,KW,IT,Father,4,8,10,60,Good,L,5,2,2,1,1,2
M,KW,IT,Father,80,90,55,19,Good,H,5,2,2,3,1,2
F,KW,IT,Father,50,70,19,15,Good,H,5,2,2,3,1,1
M,USA,IT,Father,55,89,40,40,Good,H,5,2,2,3,5,2
F,KW,IT,Father,80,44,35,10,Good,L,5,2,2,1,1,1
F,KW,IT,Father,100,80,2,70,Bad,H,5,2,1,3,1,1
F,KW,IT,Father,14,60,11,75,Good,H,5,2,2,3,1,1
F,KW,IT,Father,6,2,38,12,Bad,M,5,2,1,2,1,1
F,KW,IT,Father,10,3,0,30,Bad,M,5,2,1,2,1,1
M,KW,IT,Father,50,7,9,50,Bad,M,5,2,1,2,1,2
M,KW,IT,Father,50,90,40,90,Bad,M,5,2,1,2,1,2
F,KW,IT,Mum,70,92,50,7,Good,H,5,1,2,3,1,1
F,KW,IT,Father,2,6,2,8,Bad,L,5,2,1,1,1,1
M,KW,IT,Father,1,7,6,10,Bad,L,5,2,1,1,1,2
M,KW,IT,Father,0,12,3,3,Good,M,5,2,2,2,1,2
F,KW,IT,Father,0,0,5,80,Good,L,5,2,2,1,1,1
F,KW,IT,Father,12,26,7,40,Good,M,5,2,2,2,1,1
M,KW,IT,Father,70,90,41,33,Bad,H,5,2,1,3,1,2
M,SaudiArabia,IT,Father,7,12,5,3,Bad,M,5,2,1,2,4,2
M,KW,IT,Father,90,70,30,14,Bad,M,5,2,1,2,1,2
F,Jordan,IT,Mum,70,88,55,40,Good,H,5,1,2,3,6,1
M,KW,IT,Father,77,80,51,80,Good,M,5,2,2,2,1,2
M,KW,IT,Father,2,5,3,50,Bad,L,5,2,1,1,1,2
M,KW,IT,Father,25,27,0,69,Bad,L,5,2,1,1,1,2
M,KW,IT,Father,11,2,0,50,Bad,L,5,2,1,1,1,2
M,KW,IT,Father,0,8,11,70,Good,L,5,2,2,1,1,2
F,KW,IT,Mum,77,80,12,19,Good,M,5,1,2,2,1,1
F,KW,IT,Mum,25,29,40,17,Good,H,5,1,2,3,1,1
F,KW,IT,Mum,24,35,23,22,Good,M,5,1,2,2,1,1
M,KW,IT,Father,60,60,3,60,Bad,M,5,2,1,2,1,2
M,KW,IT,Mum,21,12,0,50,Good,M,5,1,2,2,1,2
M,KW,IT,Mum,0,4,8,30,Bad,L,5,1,1,1,1,2
F,KW,IT,Father,66,90,55,12,Good,M,5,2,2,2,1,1
F,lebanon,IT,Father,70,98,7,5,Good,M,5,2,2,2,NA,1
M,KW,IT,Father,0,6,4,15,Bad,L,5,2,1,1,1,2
M,KW,IT,Father,12,30,0,17,Good,L,5,2,2,1,1,2
F,Iran,IT,Father,2,9,7,55,Good,M,5,2,2,2,8,1
M,KW,IT,Father,55,33,6,9,Bad,L,5,2,1,1,1,2
M,KW,IT,Father,12,10,20,16,Bad,L,5,2,1,1,1,2
M,KW,IT,Father,70,90,2,2,Good,L,5,2,2,1,1,2
F,KW,IT,Father,7,9,5,30,Bad,L,5,2,1,1,1,1
M,Jordan,IT,Father,80,42,20,50,Good,M,5,2,2,2,6,2
M,KW,IT,Father,0,3,10,3,Bad,L,5,2,1,1,1,2
M,KW,IT,Father,12,60,0,70,Good,L,5,2,2,1,1,2
M,KW,Quran,Father,80,80,15,70,Good,H,11,2,2,3,1,2
F,Egypt,Quran,Mum,70,80,95,70,Good,H,11,1,2,3,3,1
F,KW,Quran,Mum,70,80,95,70,Good,H,11,1,2,3,1,1
F,KW,Quran,Mum,60,80,50,40,Bad,M,11,1,1,2,1,1
F,Jordan,Quran,Mum,100,80,95,90,Bad,H,11,1,1,3,6,1
M,Jordan,Quran,Mum,100,85,85,70,Bad,M,11,1,1,2,6,2
M,Tunis,Quran,Father,10,60,5,20,Bad,L,11,2,1,1,9,2
M,Tunis,Quran,Father,19,65,50,10,Bad,L,11,2,1,1,9,2
M,Tunis,Quran,Father,10,75,55,11,Good,M,11,2,2,2,9,2
M,KW,Quran,Father,80,90,55,19,Good,H,11,2,2,3,1,2
M,KW,Quran,Father,10,10,15,19,Bad,L,11,2,1,1,1,2
M,Tunis,Quran,Father,70,75,55,11,Bad,M,11,2,1,2,9,2
F,lebanon,Quran,Mum,100,75,50,70,Good,H,11,1,2,3,NA,1
F,lebanon,Quran,Father,10,79,30,30,Bad,M,11,2,1,2,NA,1
F,Jordan,Quran,Father,60,55,30,40,Bad,M,11,2,1,2,6,1
F,Jordan,Quran,Mum,100,75,50,70,Bad,H,11,1,1,3,6,1
M,SaudiArabia,Quran,Father,80,80,51,59,Good,H,11,2,2,3,4,2
M,SaudiArabia,Science,Father,23,63,71,89,Good,M,9,2,2,2,4,2
F,SaudiArabia,Science,Father,100,91,98,40,Bad,H,9,2,1,3,4,1
M,SaudiArabia,Spanish,Father,10,51,40,40,Bad,L,2,2,1,1,4,2
M,SaudiArabia,English,Father,70,50,33,41,Bad,M,1,2,1,2,4,2
M,SaudiArabia,Math,Father,70,58,73,91,Bad,H,6,2,1,3,4,2
F,Tunis,French,Father,70,50,30,49,Good,M,3,2,2,2,9,1
M,Tunis,Science,Father,70,50,33,40,Good,M,9,2,2,2,9,2
M,Tunis,Science,Father,22,51,48,10,Bad,L,9,2,1,1,9,2
F,KW,Science,Father,62,68,48,80,Good,M,9,2,2,2,1,1
F,Jordan,Science,Mum,82,89,58,50,Good,H,9,1,2,3,6,1
M,Jordan,Science,Mum,72,80,58,66,Bad,M,9,1,1,2,6,2
F,Jordan,French,Mum,70,82,3,73,Bad,H,3,1,1,3,6,1
F,Jordan,French,Mum,60,82,93,43,Bad,M,3,1,1,2,6,1
M,Jordan,French,Mum,55,72,83,14,Good,M,3,1,2,2,6,2
F,Morocco,French,Mum,72,65,73,66,Good,H,3,1,2,3,10,1
M,KW,French,Mum,51,82,53,43,Bad,M,3,1,1,2,1,2
M,Tunis,French,Mum,80,92,83,43,Good,H,3,1,2,3,9,2
M,KW,French,Mum,60,52,23,33,Good,H,3,1,2,3,1,2
M,KW,French,Mum,30,12,29,23,Bad,M,3,1,1,2,1,2
M,KW,French,Father,40,62,83,33,Good,H,3,2,2,3,1,2
M,KW,French,Mum,60,52,23,33,Good,M,3,1,2,2,1,2
M,Iran,French,Mum,20,22,53,13,Good,L,3,1,2,1,8,2
M,Syria,French,Mum,20,52,23,33,Good,L,3,1,2,1,11,2
F,Jordan,French,Father,50,62,73,43,Bad,M,3,2,1,2,6,1
M,Iran,French,Father,10,2,13,53,Bad,L,3,2,1,1,8,2
M,Tunis,French,Mum,60,52,23,33,Bad,H,3,1,1,3,9,2
F,USA,French,Mum,15,52,83,11,Bad,M,3,1,1,2,5,1
F,lebanon,French,Mum,80,42,33,13,Bad,H,3,1,1,3,NA,1
M,lebanon,French,Mum,40,51,20,33,Bad,M,3,1,1,2,NA,2
F,SaudiArabia,French,Father,60,70,63,93,Bad,H,3,2,1,3,4,1
M,Jordan,French,Father,50,62,13,33,Bad,L,3,2,1,1,6,2
M,KW,Arabic,Mum,85,75,62,53,Bad,H,4,1,1,3,1,2
F,lebanon,Arabic,Father,25,15,32,53,Bad,M,4,2,1,2,NA,1
M,lebanon,Arabic,Mum,10,35,30,13,Bad,L,4,1,1,1,NA,2
M,lebanon,Arabic,Mum,87,65,82,33,Good,H,4,1,2,3,NA,2
M,KW,Arabic,Mum,85,15,22,53,Good,M,4,1,2,2,1,2
F,KW,Arabic,Father,80,71,52,51,Good,M,4,2,2,2,1,1
M,KW,Arabic,Mum,75,71,72,53,Good,H,4,1,2,3,1,2
F,KW,Arabic,Father,85,66,12,23,Bad,M,4,2,1,2,1,1
M,KW,Arabic,Father,23,25,32,53,Bad,L,4,2,1,1,1,2
M,KW,Arabic,Father,15,25,37,13,Good,L,4,2,2,1,1,2
M,KW,Arabic,Mum,95,91,62,53,Good,M,4,1,2,2,1,2
M,Morocco,Arabic,Mum,81,75,62,53,Bad,M,4,1,1,2,10,2
M,Morocco,Arabic,Mum,53,75,72,23,Bad,M,4,1,1,2,10,2
M,KW,Arabic,Father,15,43,42,33,Good,M,4,2,2,2,1,2
M,KW,Arabic,Mum,92,65,62,53,Good,H,4,1,2,3,1,2
M,KW,Arabic,Mum,83,75,62,53,Bad,H,4,1,1,3,1,2
M,Morocco,Arabic,Father,27,15,42,53,Bad,L,4,2,1,1,10,2
M,KW,Arabic,Father,45,95,12,13,Bad,M,4,2,1,2,1,2
M,KW,Arabic,Mum,15,90,52,83,Bad,H,4,1,1,3,1,2
F,lebanon,Arabic,Mum,45,58,52,43,Good,H,4,1,2,3,NA,1
M,KW,Arabic,Father,25,5,12,33,Good,M,4,2,2,2,1,2
F,KW,Arabic,Father,22,51,42,40,Bad,M,4,2,1,2,1,1
M,Jordan,Arabic,Father,29,10,12,24,Bad,L,4,2,1,1,6,2
F,SaudiArabia,Arabic,Mum,72,51,42,24,Bad,H,4,1,1,3,4,1
M,KW,Arabic,Father,67,31,42,14,Good,M,4,2,2,2,1,2
M,KW,Spanish,Father,17,21,42,14,Good,M,2,2,2,2,1,2
M,Tunis,Spanish,Mum,27,41,49,14,Bad,M,2,1,1,2,9,2
M,KW,Spanish,Father,70,81,39,84,Bad,M,2,2,1,2,1,2
M,Jordan,Spanish,Mum,27,90,82,14,Good,H,2,1,2,3,6,2
M,KW,Spanish,Father,17,61,42,14,Bad,M,2,2,1,2,1,2
M,Tunis,Spanish,Mum,87,81,42,19,Good,H,2,1,2,3,9,2
M,Tunis,Spanish,Father,7,61,22,14,Bad,L,2,2,1,1,9,2
M,KW,Spanish,Father,17,50,2,4,Bad,L,2,2,1,1,1,2
M,KW,Spanish,Father,5,21,42,14,Good,L,2,2,2,1,1,2
M,Iran,Spanish,Mum,27,41,32,61,Bad,M,2,1,1,2,8,2
F,Jordan,Spanish,Father,87,88,40,10,Good,M,2,2,2,2,6,1
M,KW,Spanish,Mum,96,61,42,94,Bad,H,2,1,1,3,1,2
M,KW,Spanish,Mum,57,51,46,34,Good,M,2,1,2,2,1,2
M,lebanon,Spanish,Father,77,69,41,13,Good,M,2,2,2,2,NA,2
M,lebanon,Spanish,Father,80,51,40,24,Good,M,2,2,2,2,NA,2
M,KW,Spanish,Father,62,61,82,40,Bad,M,2,2,1,2,1,2
M,KW,Spanish,Mum,72,83,12,90,Good,H,2,1,2,3,1,2
M,KW,Spanish,Mum,87,81,22,70,Bad,H,2,1,1,3,1,2
M,KW,Spanish,Mum,72,90,12,30,Bad,M,2,1,1,2,1,2
M,KW,Spanish,Father,2,11,62,30,Bad,L,2,2,1,1,1,2
M,KW,Spanish,Father,5,3,2,10,Good,L,2,2,2,1,1,2
M,KW,Math,Mum,73,84,77,81,Good,H,6,1,2,3,1,2
M,KW,Spanish,Father,5,17,21,10,Bad,L,2,2,1,1,1,2
M,Iran,Spanish,Mum,51,42,12,29,Bad,M,2,1,1,2,8,2
M,Syria,Spanish,Father,9,7,21,20,Good,L,2,2,2,1,11,2
M,Syria,Quran,Father,19,72,15,50,Good,M,11,2,2,2,11,2
F,Jordan,Science,Mum,32,80,58,46,Good,M,9,1,2,2,6,1
M,KW,Science,Mum,32,60,58,66,Good,M,9,1,2,2,1,2
M,KW,Science,Father,12,8,18,26,Bad,L,9,2,1,1,1,2
M,Jordan,Science,Father,52,10,13,6,Bad,L,9,2,1,1,6,2
M,KW,Science,Father,72,80,58,66,Good,M,9,2,2,2,1,2
F,KW,Science,Mum,72,80,58,66,Good,M,9,1,2,2,1,1
M,Egypt,Science,Mum,92,80,88,76,Good,H,9,1,2,3,3,2
M,KW,Science,Mum,72,80,98,96,Bad,H,9,1,1,3,1,2
M,Egypt,Science,Father,72,80,58,86,Good,M,9,2,2,2,3,2
M,KW,Science,Father,22,20,18,6,Bad,L,9,2,1,1,1,2
M,Egypt,Science,Father,12,20,38,46,Bad,M,9,2,1,2,3,2
M,KW,IT,Mum,70,92,83,85,Bad,H,5,1,1,3,1,2
F,KW,IT,Father,50,40,52,66,Bad,M,5,2,1,2,1,1
F,KW,Science,Father,80,94,62,77,Good,H,9,2,2,3,1,1
F,KW,Math,Father,87,48,82,96,Bad,M,6,2,1,2,1,1
F,KW,Quran,Father,70,40,2,16,Bad,L,11,2,1,1,1,1
M,KW,IT,Father,65,86,62,40,Good,M,5,2,2,2,1,2
M,KW,Math,Father,15,6,32,40,Good,H,6,2,2,3,1,2
M,Egypt,English,Mum,19,74,32,17,Good,L,1,1,2,1,3,2
F,KW,Science,Father,69,76,82,94,Bad,M,9,2,1,2,1,1
M,KW,Arabic,Father,39,26,12,44,Bad,L,4,2,1,1,1,2
M,KW,English,Father,59,97,42,70,Good,H,1,2,2,3,1,2
M,KW,History,Father,10,17,12,40,Good,H,10,2,2,3,1,2
F,KW,History,Mum,80,87,72,60,Good,H,10,1,2,3,1,1
F,KW,History,Father,70,99,66,65,Good,M,10,2,2,2,1,1
F,KW,History,Father,80,97,86,95,Good,M,10,2,2,2,1,1
M,KW,English,Mum,69,34,12,17,Bad,L,1,1,1,1,1,2
M,KW,History,Father,10,17,12,14,Bad,L,10,2,1,1,1,2
M,KW,History,Father,61,97,82,64,Bad,M,10,2,1,2,1,2
F,KW,History,Mum,21,27,52,34,Good,M,10,1,2,2,1,1
M,Egypt,Math,Mum,49,94,42,7,Bad,M,6,1,1,2,3,2
F,Jordan,English,Mum,70,64,42,32,Bad,M,1,1,1,2,6,1
F,Jordan,English,Mum,79,84,82,37,Bad,H,1,1,1,3,6,1
M,Jordan,English,Father,19,80,12,17,Good,M,1,2,2,2,6,2
M,Jordan,English,Father,11,70,32,29,Good,M,1,2,2,2,6,2
M,Jordan,English,Father,10,8,10,10,Bad,M,1,2,1,2,6,2
M,Jordan,English,Father,18,28,40,20,Bad,M,1,2,1,2,6,2
F,Jordan,English,Mum,90,84,52,30,Good,H,1,1,2,3,6,1
F,Jordan,English,Mum,92,81,32,36,Good,M,1,1,2,2,6,1
M,Jordan,English,Father,42,21,2,16,Bad,M,1,2,1,2,6,2
M,Jordan,English,Father,22,20,6,26,Bad,H,1,2,1,3,6,2
F,lebanon,English,Mum,95,82,82,70,Good,H,1,1,2,3,NA,1
F,lebanon,English,Mum,90,62,80,60,Good,H,1,1,2,3,NA,1
M,Palestine,English,Mum,72,21,22,26,Good,H,1,1,2,3,12,2
M,Palestine,English,Mum,92,31,42,27,Good,H,1,1,2,3,12,2
M,Palestine,English,Mum,82,31,52,25,Good,M,1,1,2,2,12,2
M,Palestine,English,Mum,72,41,46,27,Good,M,1,1,2,2,12,2
M,Iraq,English,Mum,74,71,56,37,Good,H,1,1,2,3,13,2
M,Iraq,English,Mum,74,60,56,37,Good,H,1,1,2,3,13,2
F,Jordan,English,Mum,95,94,72,80,Good,H,1,1,2,3,6,1
F,Jordan,English,Mum,97,87,82,86,Good,H,1,1,2,3,6,1
M,Jordan,English,Father,40,38,32,36,Bad,M,1,2,1,2,6,2
M,Jordan,English,Father,41,39,35,39,Bad,M,1,2,1,2,6,2
F,Jordan,English,Mum,51,79,85,89,Good,H,1,1,2,3,6,1
F,Jordan,English,Mum,81,79,91,85,Good,H,1,1,2,3,6,1
M,Palestine,English,Mum,71,70,65,69,Good,M,1,1,2,2,12,2
M,Palestine,English,Mum,75,71,76,80,Good,M,1,1,2,2,12,2
F,Jordan,Science,Father,49,36,32,44,Bad,L,9,2,1,1,6,1
F,Jordan,Science,Father,42,24,12,24,Bad,L,9,2,1,1,6,1
F,Palestine,Science,Mum,90,86,82,74,Good,H,9,1,2,3,12,1
F,Palestine,Science,Mum,62,64,72,84,Good,H,9,1,2,3,12,1
M,Iraq,Science,Father,90,86,82,74,Good,M,9,2,2,2,13,2
M,Iraq,Science,Father,62,64,72,84,Good,M,9,2,2,2,13,2
F,Jordan,Science,Mum,98,87,86,84,Good,H,9,1,2,3,6,1
F,Jordan,Science,Mum,72,74,82,89,Good,H,9,1,2,3,6,1
M,Jordan,Science,Father,18,17,26,34,Good,M,9,2,2,2,6,2
M,Jordan,Science,Father,32,14,32,29,Good,M,9,2,2,2,6,2
M,Jordan,Science,Father,10,12,20,13,Bad,L,9,2,1,1,6,2
M,Jordan,Science,Father,22,34,15,9,Bad,L,9,2,1,1,6,2
F,Jordan,Science,Mum,11,20,21,23,Bad,M,9,1,1,2,6,1
F,Jordan,Science,Mum,12,44,25,39,Bad,M,9,1,1,2,6,1
F,Jordan,Science,Father,15,50,24,43,Bad,M,9,2,1,2,6,1
F,Jordan,Science,Father,32,44,29,89,Bad,M,9,2,1,2,6,1
M,Jordan,Science,Mum,65,59,74,83,Good,H,9,1,2,3,6,2
M,Jordan,Science,Mum,72,64,59,89,Good,H,9,1,2,3,6,2
M,Palestine,Science,Mum,95,57,74,89,Good,M,9,1,2,2,12,2
M,Palestine,Science,Mum,82,84,79,79,Good,M,9,1,2,2,12,2
M,Jordan,Science,Father,25,29,34,33,Good,M,9,2,2,2,6,2
M,Jordan,Science,Father,42,34,29,39,Good,M,9,2,2,2,6,2
F,Jordan,Science,Mum,55,79,44,43,Good,H,9,1,2,3,6,1
F,Jordan,Science,Mum,62,64,69,49,Good,H,9,1,2,3,6,1
F,Jordan,Science,Mum,78,88,74,83,Good,H,9,1,2,3,6,1
F,Jordan,Science,Mum,72,84,89,89,Good,H,9,1,2,3,6,1
M,Jordan,French,Mum,60,92,83,23,Good,H,3,1,2,3,6,2
M,Jordan,French,Mum,50,90,83,13,Good,H,3,1,2,3,6,2
F,Jordan,French,Mum,60,97,13,3,Good,H,3,1,2,3,6,1
F,Jordan,French,Mum,50,95,23,10,Good,H,3,1,2,3,6,1
F,Jordan,French,Mum,60,87,23,11,Good,M,3,1,2,2,6,1
F,Jordan,French,Mum,50,80,20,15,Good,M,3,1,2,2,6,1
M,Jordan,French,Father,10,15,10,21,Bad,L,3,2,1,1,6,2
M,Jordan,French,Father,30,10,20,5,Bad,L,3,2,1,1,6,2
M,Syria,French,Father,24,35,18,31,Bad,M,3,2,1,2,11,2
M,Syria,French,Father,27,20,33,35,Bad,M,3,2,1,2,11,2
M,Jordan,French,Father,10,15,10,21,Bad,L,3,2,1,1,6,2
M,Jordan,French,Father,30,10,20,5,Bad,L,3,2,1,1,6,2
F,Jordan,French,Mum,80,77,63,83,Good,M,3,1,2,2,6,1
F,Jordan,French,Mum,75,85,73,80,Good,M,3,1,2,2,6,1
M,Jordan,French,Father,40,7,50,41,Good,L,3,2,2,1,6,2
M,Jordan,French,Father,35,2,29,33,Good,L,3,2,2,1,6,2
F,Jordan,French,Mum,10,90,30,21,Good,M,3,1,2,2,6,1
F,Jordan,French,Mum,25,80,29,23,Good,M,3,1,2,2,6,1
M,Lybia,French,Mum,10,8,9,3,Good,L,3,1,2,1,14,2
M,Lybia,French,Mum,15,7,12,7,Good,L,3,1,2,1,14,2
F,Palestine,French,Mum,70,90,20,21,Good,M,3,1,2,2,12,1
F,Palestine,French,Mum,75,80,15,20,Good,M,3,1,2,2,12,1
F,Palestine,French,Father,78,98,10,11,Good,M,3,2,2,2,12,1
F,Palestine,French,Father,79,89,11,14,Good,M,3,2,2,2,12,1
F,Iraq,French,Father,16,90,15,11,Good,M,3,2,2,2,13,1
F,Iraq,French,Father,17,80,13,10,Good,M,3,2,2,2,13,1
M,Jordan,French,Mum,40,87,50,41,Bad,M,3,1,1,2,6,2
M,Jordan,French,Mum,35,92,29,33,Bad,M,3,1,1,2,6,2
F,Jordan,French,Mum,14,97,15,14,Good,H,3,1,2,3,6,1
F,Jordan,French,Mum,13,82,20,30,Good,H,3,1,2,3,6,1
F,Jordan,French,Mum,24,97,15,14,Good,H,3,1,2,3,6,1
F,Jordan,French,Mum,23,82,20,30,Good,H,3,1,2,3,6,1
M,Lybia,French,Mum,20,3,9,3,Good,L,3,1,2,1,14,2
M,Lybia,French,Mum,15,4,12,7,Good,L,3,1,2,1,14,2
M,Egypt,French,Mum,5,13,6,6,Good,L,3,1,2,1,3,2
M,Egypt,French,Mum,7,9,11,10,Good,L,3,1,2,1,3,2
F,Jordan,French,Mum,10,94,40,11,Good,M,3,1,2,2,6,1
F,Jordan,French,Mum,25,89,21,13,Good,M,3,1,2,2,6,1
M,Jordan,French,Mum,30,98,42,21,Good,H,3,1,2,3,6,2
M,Jordan,French,Mum,35,97,41,23,Good,H,3,1,2,3,6,2
M,Jordan,French,Father,32,88,32,25,Good,M,3,2,2,2,6,2
M,Jordan,French,Father,25,87,21,27,Good,M,3,2,2,2,6,2
F,lebanon,French,Mum,72,98,52,15,Good,H,3,1,2,3,NA,1
F,lebanon,French,Mum,75,90,51,17,Good,H,3,1,2,3,NA,1
M,Jordan,Arabic,Father,20,88,31,28,Good,M,4,2,2,2,6,2
M,Jordan,Arabic,Father,10,98,41,38,Good,M,4,2,2,2,6,2
M,Palestine,Arabic,Father,90,98,41,38,Good,H,4,2,2,3,12,2
